aid,genres
134451,"['7425Nf', '7472-h', '7450+r']"
134451,"['7445+c', '7472-h']"
134451,"['7478Na', '7323Ra', '7445+c', '7450+r']"
134451,"['7445+c', '7323-b', '7478Na']"
134451,"['7445+c', '7323-b', '7478Na']"
134451,"['7450+r', '7340-c', '7445+c']"
134451,"['7445+c', '7323-b', '7478Na']"
134451,"['7445+c', '7323-b', '7478Na']"
134451,"['7445+c', '7225Ba', '7323-b', '7478Na']"
19366,"['7425Op', '7425Bt', '7470Pq']"
19366,"['7425Op', '7425Bt', '7420Rp']"
19366,"['7420Mn', '7110Fd', '7420Rp', '7425Ha']"
19366,"['6785-d', '0375Hh', '0530Fk', '7110Ca']"
19366,"['6785-d', '7110Ca', '7425Dw']"
19366,"['7420-z', '7425Dw', '7470Tx']"
19366,"['7425Op', '8115Hi']"
19366,"['7127+a', '7470Tx', '7478Fk', '8115Hi']"
228780,"['7425Ha', '7460Ec', '7460Jg']"
228780,"['7425Ha', '7460Ec']"
228780,"['7460Jg', '8525Ly']"
228780,"['7460Jg', '8525Ly']"
228780,['8471Mn']
228780,"['7425Sv', '8471Mn']"
228780,"['7425Sv', '7425Ha', '7478-w', '7472Bk']"
228780,"['7472Bk', '7425Sv', '7425Ha']"
357702,"['7425Ha', '7425Jb']"
357702,"['7343Cd', '0365Vf']"
357702,"['6757-z', '0365Vf', '7343-f', '4732-y']"
357702,"['7420Rp', '7425Fy', '7425Jb', '7470Tx']"
357702,"['7420De', '7420Rp']"
357702,['6730hj']
357702,"['7425Nf', '7420Rp', '7425Gz', '7470Pq']"
357702,"['7225Ba', '7210-d', '7470-b']"
