year,coe,l,r
2,0.102470679,0.044198864,0.160742493
3,0.072639611,0.033768143,0.111511079
4,0.093718493,0.058829881,0.128607104
5,0.081550955,0.050326098,0.112775811
6,0.074440195,0.044568632,0.104311758
7,0.068362974,0.039357557,0.097368391
8,0.069750092,0.040023552,0.099476632
9,0.064069734,0.034107634,0.094031834
10,0.049720223,0.019786194,0.079654253
11,0.048794247,0.017824825,0.079763669
12,0.054739478,0.022088346,0.087390611
13,0.048917742,0.014449451,0.083386033
14,0.051621069,0.013386232,0.089855906
15,0.047274998,0.006307451,0.088242545
