careeryear_split_point,aid,citCount,quantile_50
2,1006,3.1875,C
2,10082,7.181818181818182,C
2,1008235,2.2,A
2,1008237,9.625,A
2,1017,27.22222222222222,C
2,10178,12.2,C
2,10212,4.0,C
2,10250,6.0,B
2,10335,7.761904761904762,C
2,10430,7.0,C
2,1044737,11.11111111111111,B
2,10483,5.935483870967742,D
2,10499,6.083333333333333,C
2,10587,11.7,C
2,106,8.11111111111111,B
2,10672,7.181818181818182,C
2,10679,9.38888888888889,B
2,1082671,2.5833333333333335,B
2,10856,7.085106382978723,C
2,10900,9.5,C
2,10912,15.707692307692307,C
2,10954,16.7,C
2,10957,5.333333333333333,C
2,10961,10.26923076923077,A
2,1097812,3.857142857142857,A
2,10987,3.0,C
2,11047,5.9,D
2,1104981,13.333333333333334,B
2,11053,7.461538461538462,C
2,1105393,1.7692307692307692,A
2,1105733,2.0,C
2,11062,6.055555555555555,D
2,1106241,3.5,C
2,1106436,2.2222222222222223,D
2,1106589,2.6,A
2,1106867,3.642857142857143,D
2,1107550,4.5,B
2,1107810,4.785714285714286,C
2,1108173,13.375,D
2,1108274,3.230769230769231,D
2,11087,2.5384615384615383,C
2,11090,11.666666666666666,D
2,1109364,16.0,A
2,1110555,1.6,B
2,1110558,1.6,B
2,11113,5.869565217391305,A
2,1112386,7.5,A
2,1112977,4.9,B
2,1113160,6.666666666666667,A
2,1113360,5.571428571428571,B
2,1114380,1.8125,
2,1114906,3.4285714285714284,A
2,1115031,2.2,D
2,11153,10.63888888888889,C
2,1115422,6.166666666666667,B
2,1116513,2.3076923076923075,B
2,1117398,3.6666666666666665,
2,1123411,23.181818181818183,C
2,1124534,6.0,B
2,1125977,2.9245283018867925,B
2,1126457,4.2,C
2,1129051,2.5555555555555554,C
2,1129414,7.0,C
2,1129522,2.6666666666666665,C
2,1129615,13.0,D
2,1129757,3.7333333333333334,D
2,1130375,22.846153846153847,C
2,1131421,4.0,B
2,1132039,4.230769230769231,A
2,1134751,7.076923076923077,C
2,1136939,4.6,D
2,1137,11.0,C
2,1139191,10.5,A
2,1140720,3.5714285714285716,C
2,1140994,4.25,B
2,1141695,2.25,B
2,11434,6.0,B
2,11436,2.7142857142857144,C
2,1143863,3.875,C
2,1144,15.03225806451613,B
2,1144313,6.833333333333333,A
2,1144349,5.833333333333333,C
2,11451,2.5714285714285716,C
2,1146,12.0,C
2,1146788,1.0,C
2,1147031,0.75,C
2,1147254,2.1818181818181817,D
2,1147513,4.0,D
2,1147844,3.4545454545454546,C
2,1148015,1.3333333333333333,B
2,1148160,1.6666666666666667,D
2,1148221,0.6666666666666666,B
2,1148244,1.6,D
2,1148316,5.25,
2,1148855,9.285714285714286,C
2,1148992,1.0,D
2,1151251,1.2,C
2,11514,6.25,D
2,1152390,2.2,D
2,11532,7.6,C
2,1153763,1.2,A
2,1153920,3.6,C
2,11540,11.117647058823529,B
2,1154274,2.6,B
2,1154845,3.1,B
2,115576,19.953846153846154,B
2,1155850,2.2,B
2,1155851,1.75,B
2,115622,21.5,B
2,115647,7.75,C
2,115656,18.238095238095237,
2,115671,8.761904761904763,D
2,1156750,0.2,D
2,115705,22.051724137931036,B
2,11574,8.25,D
2,115752,21.76,A
2,1157545,2.0,B
2,115770,3.0,D
2,115781,43.0,C
2,115796,13.707317073170731,A
2,115842,8.125,B
2,115862,2.1,
2,115933,20.09090909090909,
2,1159890,1.3333333333333333,C
2,1160287,2.875,B
2,116052,60.8421052631579,D
2,116151,7.866666666666666,C
2,116157,13.090909090909092,D
2,116168,16.555555555555557,D
2,116175,2.0,D
2,116223,4.424242424242424,B
2,1162425,2.6,C
2,1162426,2.6,C
2,116273,10.161290322580646,C
2,116293,3.5121951219512195,C
2,1163128,2.3636363636363638,D
2,116315,12.444444444444445,C
2,1163328,2.8333333333333335,C
2,1163434,4.0,B
2,116345,4.875,B
2,116369,12.215384615384615,B
2,116401,8.295081967213115,D
2,1164059,1.8,
2,1164061,1.5,
2,1164089,8.9375,C
2,116414,10.615384615384615,C
2,116509,3.727272727272727,D
2,116546,9.722222222222221,C
2,116555,27.26530612244898,C
2,116596,6.476190476190476,B
2,116602,16.066666666666666,C
2,116647,8.132075471698114,D
2,11667,5.904761904761905,
2,116744,8.666666666666666,B
2,11675,3.125,C
2,1167619,1.5714285714285714,C
2,116777,24.833333333333332,B
2,116793,7.275,B
2,1168,5.333333333333333,D
2,1168098,1.2,D
2,1168597,2.8,B
2,116864,11.28,A
2,116867,4.7272727272727275,D
2,116876,29.4,D
2,11690,5.181818181818182,D
2,116911,3.5925925925925926,B
2,116937,13.428571428571429,C
2,116947,16.9,B
2,1169480,0.875,D
2,1169923,5.2,C
2,117043,3.8857142857142857,D
2,117079,46.95652173913044,C
2,117154,15.708333333333334,B
2,117182,14.861386138613861,D
2,117212,5.75,D
2,117216,9.870967741935484,D
2,117268,10.772727272727273,C
2,117283,9.75,B
2,117316,10.161290322580646,C
2,117319,32.70454545454545,A
2,1173386,11.4,C
2,117343,19.125,C
2,117356,12.8,B
2,117362,9.754237288135593,A
2,117373,8.80952380952381,D
2,117403,3.4545454545454546,B
2,1174886,2.5,D
2,1175081,5.2,C
2,117518,12.857142857142858,B
2,117533,13.6,A
2,117546,10.153846153846153,B
2,1175543,3.8333333333333335,B
2,117564,5.166666666666667,D
2,117572,93.4,A
2,1175737,2.75,B
2,1176550,4.666666666666667,B
2,117672,10.695652173913043,D
2,1176810,1.6666666666666667,C
2,1177231,12.666666666666666,C
2,117773,13.6,C
2,117778,6.0,C
2,117820,18.48,C
2,117822,6.586776859504132,B
2,117851,14.6,C
2,117893,6.4,C
2,117895,6.458333333333333,B
2,117904,4.036363636363636,D
2,117963,11.666666666666666,C
2,117969,12.0,C
2,117970,9.5,B
2,117979,11.857142857142858,C
2,118026,50.111111111111114,C
2,118050,69.44736842105263,C
2,118055,12.699029126213592,D
2,118078,19.866666666666667,D
2,118082,23.46067415730337,B
2,118175,6.21875,C
2,118187,7.914285714285715,C
2,118203,19.666666666666668,A
2,118237,4.285714285714286,B
2,118239,7.67741935483871,B
2,11826,6.827586206896552,C
2,11828,11.025641025641026,
2,118295,8.454545454545455,
2,118322,9.463414634146341,C
2,118462,15.666666666666666,C
2,118483,13.1,C
2,118486,11.0,C
2,118536,13.181818181818182,A
2,118554,15.5,C
2,118615,9.5,B
2,118616,17.6875,C
2,118641,18.82051282051282,B
2,118643,14.833333333333334,B
2,118699,19.636363636363637,B
2,118750,7.0476190476190474,C
2,118821,6.803571428571429,D
2,118826,3.3333333333333335,C
2,118827,7.088235294117647,D
2,118833,10.285714285714286,B
2,11887,8.6,D
2,118874,15.307692307692308,A
2,118916,5.538461538461538,A
2,118942,22.425925925925927,C
2,118974,22.5,B
2,119003,6.961538461538462,C
2,119008,14.444444444444445,B
2,119012,21.2,B
2,1190649,1.8571428571428572,B
2,1190766,6.333333333333333,
2,119078,11.081632653061224,
2,119085,28.125,B
2,1191131,4.75,B
2,119125,7.105263157894737,A
2,119136,4.25,C
2,1191873,3.142857142857143,B
2,119206,10.090909090909092,B
2,119218,7.190476190476191,D
2,1192427,4.8,C
2,119258,21.02061855670103,B
2,119259,17.8,A
2,119261,21.6,C
2,1192676,4.8,C
2,119295,19.26923076923077,D
2,119334,11.647058823529411,A
2,1194,8.090909090909092,C
2,119425,22.181818181818183,B
2,11944,16.0,C
2,1194981,2.8181818181818183,A
2,119519,8.666666666666666,B
2,119546,3.8518518518518516,B
2,119563,20.266666666666666,B
2,119709,10.08,B
2,119745,10.35,A
2,119920,18.05263157894737,B
2,119933,12.4,D
2,119951,30.833333333333332,B
2,120006,5.605633802816901,B
2,120054,25.31578947368421,A
2,120156,6.903225806451613,B
2,120228,6.0476190476190474,D
2,1202365,7.4,D
2,1202432,2.2857142857142856,B
2,120249,26.227272727272727,B
2,12028,10.59375,A
2,120337,29.4,C
2,120377,6.444444444444445,C
2,120402,9.8,D
2,120421,33.0,B
2,120475,9.0,C
2,120476,9.0,D
2,1205,1.8888888888888888,D
2,120551,41.166666666666664,C
2,120626,35.833333333333336,B
2,120681,8.956521739130435,B
2,120744,5.4,C
2,120783,40.111111111111114,A
2,120812,58.77777777777778,A
2,120863,12.758620689655173,D
2,120888,14.333333333333334,C
2,12090,11.0,C
2,120967,18.19047619047619,D
2,120974,8.857142857142858,C
2,121007,19.153846153846153,B
2,121064,9.307692307692308,A
2,121100,5.107142857142857,D
2,121211,11.714285714285714,D
2,121233,9.066666666666666,
2,121349,3.0384615384615383,B
2,121375,5.161290322580645,D
2,121438,18.618181818181817,C
2,121451,16.4,C
2,121512,10.8,C
2,121523,6.628571428571429,D
2,121531,1.95,D
2,121544,51.333333333333336,B
2,121632,40.4,A
2,121698,10.0,B
2,121750,2.611111111111111,D
2,121758,12.615384615384615,A
2,12181,3.5,D
2,121829,4.75,C
2,121859,8.029411764705882,D
2,121868,6.142857142857143,D
2,121872,7.321428571428571,D
2,121874,6.142857142857143,B
2,12190,16.902439024390244,C
2,121953,6.277777777777778,C
2,122071,29.448275862068964,B
2,122086,35.142857142857146,C
2,12209,6.4,C
2,122094,15.12280701754386,B
2,12214,10.867924528301886,C
2,122168,6.157894736842105,B
2,122260,8.870967741935484,C
2,122267,3.6,C
2,122276,9.774193548387096,
2,122303,18.22222222222222,
2,122402,16.23076923076923,B
2,1225006,1.125,B
2,122532,7.8,C
2,122542,1.0,C
2,122605,19.5,C
2,122661,52.43589743589744,B
2,1227483,2.4285714285714284,C
2,122786,19.217391304347824,C
2,122818,6.045454545454546,C
2,122836,24.37037037037037,A
2,12290,8.681818181818182,C
2,122907,7.222222222222222,D
2,12291,5.666666666666667,C
2,122962,9.5,B
2,123071,11.366666666666667,A
2,123276,14.542857142857143,A
2,123308,4.392857142857143,C
2,123358,10.6875,C
2,123523,9.95,A
2,123557,18.333333333333332,C
2,123641,12.5625,B
2,123706,11.375,B
2,1237142,5.0,C
2,123727,24.0,C
2,123773,14.727272727272727,C
2,123833,8.0,B
2,123892,15.25,A
2,123897,15.444444444444445,
2,124119,20.157894736842106,C
2,124155,7.333333333333333,B
2,124199,11.214285714285714,C
2,124231,3.142857142857143,C
2,124302,4.548387096774194,B
2,124376,17.333333333333332,B
2,124416,5.375,B
2,124431,9.606060606060606,C
2,124437,6.846153846153846,A
2,124475,26.5,D
2,124487,6.9,B
2,124606,23.46551724137931,B
