aid,2000,2003,2006,2009
10020,A,B,A,B
1003,B,A,A,A
1004034,B,A,A,A
10076,C,C,C,C
10077,C,C,C,C
10081,A,B,B,A
10088,C,C,C,C
10112,C,C,C,C
10118,C,C,C,C
10120,C,C,C,C
10126,D,D,,C
10155,C,C,C,C
1015889,B,B,A,
10165,B,B,B,B
10176,A,B,A,A
1020,D,D,D,D
10209,C,C,D,D
10212,B,B,D,D
10222,B,B,B,B
10227,C,C,C,C
10233,C,C,C,C
10240,B,A,B,
10256,C,C,C,C
10264,C,C,C,C
1027,B,B,D,D
10284,B,B,,B
10287,D,D,D,B
103,A,A,B,A
1031,C,C,C,C
10332,C,B,B,B
10335,B,A,C,C
1033847,D,C,C,C
10373,C,C,C,C
10374,D,D,C,C
1038,B,C,C,C
10386,C,C,C,C
10396,C,C,C,C
10398,C,C,C,C
104,B,B,B,B
1040601,B,B,B,B
10438,A,B,B,B
10442,B,D,D,D
10444,C,C,C,C
1044707,A,A,A,A
10467,A,A,,B
10478,A,A,A,A
1048222,B,B,B,B
10483,B,B,A,A
1049,C,C,C,C
10563,C,C,C,C
10593,C,B,B,B
106,B,B,B,B
1060,C,C,D,C
10614,C,C,C,C
10646,C,C,C,D
10659,D,C,C,C
10672,C,C,A,A
10692,A,A,A,A
1073676,C,C,C,C
1074,A,B,B,B
10747,A,B,A,C
10748,A,C,A,A
10757,B,B,B,B
10762,C,D,D,C
1078,B,B,B,B
10780,B,A,A,A
10784,B,B,B,C
1082,B,A,B,B
1082671,B,B,B,B
10830,C,C,C,C
1083269,C,C,C,C
10838,B,D,C,B
10856,D,D,D,D
1085721,B,C,D,D
10864,C,C,C,C
10865,C,D,C,C
1089,C,C,C,C
10893,A,A,C,C
10899,C,C,C,C
1091,C,C,D,D
10912,A,C,A,C
10917,A,A,A,
1093,D,D,B,D
10931,D,D,D,D
10961,B,B,B,B
1097,B,B,B,B
1098134,C,C,C,C
11007,C,C,C,C
11033,A,A,B,C
11041,A,A,C,C
11047,C,C,C,C
1104981,B,A,A,A
1105449,B,B,B,B
1105600,C,C,A,A
11058,C,A,A,A
1105818,B,B,B,B
1106436,B,D,B,B
1106484,D,D,D,D
1106722,B,B,B,B
1106723,B,B,A,A
11068,C,C,C,C
11071,C,C,C,C
1107103,B,B,B,B
1107108,B,B,B,B
1107378,B,B,B,B
1107380,A,A,A,A
1107554,B,A,B,A
1107558,B,B,B,B
1107563,A,C,D,D
11076,C,C,C,C
1107673,D,B,B,B
11077,C,C,C,C
1107834,D,C,C,C
1107904,C,C,C,C
1108015,A,A,A,A
1108124,C,C,C,A
11082,B,A,B,B
1108274,D,D,D,B
1108551,C,C,C,C
11086,B,C,C,C
11087,C,C,C,C
1108736,A,A,A,A
1108739,A,A,A,A
1108744,C,A,A,A
11088,D,B,B,D
1108809,A,B,A,C
1108878,B,B,B,B
1108949,B,B,B,B
1109017,D,D,D,D
11091,B,B,B,B
1109398,B,B,B,B
1109695,C,C,C,C
1109884,A,A,A,A
1110043,D,D,,D
1110242,B,B,B,B
1110279,C,C,C,C
1110398,B,B,B,B
1110407,C,C,C,C
1110525,D,D,D,D
1110526,B,B,A,B
1110578,D,C,C,D
11108,C,C,C,C
1110895,C,C,C,C
1111180,B,B,B,B
1111181,A,C,C,D
1111360,B,B,B,B
1111362,C,C,C,B
1111504,B,B,B,B
1111625,A,B,A,A
1111700,D,B,D,D
1111729,C,C,C,B
1112013,C,D,D,B
1112194,A,C,C,C
11122,C,C,C,C
1112310,C,C,C,C
1112483,D,D,D,D
1112715,A,A,A,B
1112936,C,C,C,C
1113104,C,C,C,C
1113129,B,B,,A
1113757,C,C,C,C
1113996,B,B,B,B
1114070,B,A,A,A
11148,A,C,C,C
1115,C,C,C,C
1115256,D,D,D,D
11153,A,A,C,C
1115352,B,B,B,B
1115357,A,A,A,A
1115398,D,D,C,C
1115754,C,D,C,C
1116356,A,A,B,B
1116468,B,B,B,B
1116513,B,A,B,A
11170,C,C,C,C
11171,C,D,C,C
1118,C,C,C,C
11182,C,C,C,C
11187,A,A,A,A
1119,D,C,C,C
11199,C,C,C,C
1120299,A,A,A,A
1120485,C,C,C,D
11206,D,D,D,D
1120788,A,B,B,B
1121838,B,A,,B
1121898,B,B,B,B
1121903,A,A,A,A
1122078,B,B,B,B
1122209,C,C,C,C
1122691,C,C,C,C
1123,D,D,B,B
1123775,B,A,A,B
1123835,A,C,C,C
1123875,A,A,B,B
1123876,B,B,B,B
11239,A,A,A,A
1123908,C,C,C,C
1124173,A,A,A,
1124353,C,B,A,A
1124407,D,D,D,D
11245,A,A,A,A
1124929,A,C,C,C
1125215,D,D,C,C
1125268,A,C,C,A
1125282,C,C,C,A
1125543,C,C,C,C
1125951,C,C,,C
1125977,B,B,B,B
1126022,A,A,A,A
1126406,B,B,B,D
1126457,C,C,C,C
1126779,C,C,C,C
1126853,C,C,C,D
1127030,C,C,C,C
1127302,C,A,A,
1127466,B,C,C,C
1127667,A,A,B,B
1127993,B,B,A,
1128093,B,B,B,B
1128639,B,B,B,B
1128785,A,A,B,A
1128996,D,D,B,B
1129050,B,C,D,D
1129258,B,B,B,B
1129585,B,B,B,B
1129757,D,B,B,B
11298,A,A,A,B
11299,C,C,C,B
1130171,B,B,B,B
1130780,A,B,B,
1130947,B,B,B,B
1131634,C,C,C,D
1132530,A,B,B,B
1132546,C,C,C,C
1132651,A,B,B,B
1132652,B,B,B,B
11327,B,A,A,A
1132747,B,B,B,B
1132749,C,D,D,D
1132883,C,C,C,C
1133626,D,D,D,D
1134,B,B,A,B
11355,C,C,C,C
1135550,A,A,A,A
1135816,C,C,C,C
1135839,B,B,B,B
1136573,A,B,B,B
11366,D,C,C,C
1136863,B,B,B,B
1136864,B,B,B,B
1136865,B,B,B,B
1137730,C,B,B,B
1138,B,B,B,B
1138672,B,B,B,B
1139,C,C,C,C
1139598,D,D,D,D
1139941,A,A,B,A
1140027,A,A,A,A
1140414,B,D,D,C
1141,A,B,B,B
1141155,C,C,A,
1141695,B,B,B,B
1141906,C,C,D,D
1142435,B,B,,
1143971,B,C,C,C
1144203,C,C,C,C
11451,C,C,C,C
1146,C,C,C,C
1146788,C,C,C,C
1146916,A,C,C,C
1147031,D,D,D,B
1147513,B,B,B,B
1148457,D,D,D,D
1148537,C,C,D,D
1148992,C,C,D,D
1149183,D,C,C,C
11496,B,B,B,B
