aid,past_paperCount,first_year,first_genre,past_logCit,post_logCit,post_paperCount,post_career,whole_count,past_es,past_es_dis
36,4,1988,"[31, 31, 32]",0.44793986730701374,1.6819950763151286,27,12,31,0.3333333333333333,0.6784178085555287
37,19,2004,"[61, 71, 71, 73]",2.2780656933258876,3.204860791533914,5,1,24,0.7222222222222222,0.6291228738772943
40,2,1989,[25],1.647918433002165,2.303875412101962,15,5,17,0.0,0.7278270509977829
44,19,2005,"[71, 75, 75]",2.3600057827963177,1.6094379124341005,1,0,20,0.3888888888888889,0.5674533573089188
45,4,1995,"[52, 52]",1.6570103440448833,1.5637931890102745,17,8,21,0.6666666666666666,0.7939233438956829
49,11,1993,"[68, 5, 64]",1.861636306231312,1.8666328940523635,55,12,66,0.4,0.5889771788017526
51,26,2003,"[3, 3, 3, 42]",2.880221792922925,2.1987062320036292,4,1,30,0.08,0.2795477241137685
52,18,1989,"[42, 42, 32, 42]",1.43840761292304,1.3493584009975077,48,16,66,0.17647058823529413,0.3013320142587565
60,24,2003,[3],2.6388597947813457,2.86008562280944,15,2,39,0.43478260869565216,0.4176173151095718
61,66,1989,"[42, 42, 32, 42]",2.6342173994287426,2.8777075084763686,234,16,300,0.2,0.42888852429661045
95,25,1996,"[3, 42, 42]",2.497885749718822,2.428622302074301,31,8,56,0.375,0.45149594414577154
99,24,2000,"[42, 42, 42]",2.0015331521199493,2.2252992923863113,13,5,37,0.17391304347826086,0.4025067416817143
103,7,1986,"[42, 42]",1.6366221590688337,2.154995370756794,44,17,51,0.5,0.5665053857495032
104,13,1991,"[32, 34, 34]",2.864553425351038,2.538365919537869,17,10,30,0.25,0.4018166319115586
106,21,2000,"[42, 3, 7, 42]",1.6030948379968861,2.2509489333314754,11,4,32,0.05,0.15502367752482935
115,9,1994,[42],0.954411098022554,2.158686360449528,9,5,18,0.5,0.4182091388305632
120,15,2001,"[42, 42, 12, 3]",2.39443554925398,2.372460896888638,14,3,29,0.35714285714285715,0.4695124742965834
136,33,1997,"[72, 72, 75]",2.0146838230638235,2.154664016029883,30,8,63,0.5625,0.6260253319743723
139,35,1987,"[24, 25, 27]",1.8710922177818528,1.8087117999842321,57,18,92,0.11764705882352941,0.34554562193293736
142,12,1990,"[5, 5, 42]",0.6452001684846486,1.933092130382271,31,15,43,0.5454545454545454,0.7975572133038583
147,4,1994,"[76, 71, 61]",1.2207004806465929,1.6476887399257938,23,11,27,0.6666666666666666,0.800320885751603
148,10,1998,[71],1.2647676800254213,1.5747134884509655,23,7,33,0.4444444444444444,0.5879740026384367
150,9,2001,"[78, 71]",1.6118417302577661,1.6878153536800895,10,3,19,0.25,0.605253245189475
154,25,2001,"[3, 7, 42]",2.428619843767122,2.0165943562942656,16,4,41,0.3333333333333333,0.324896327934481
157,24,2000,"[71, 71, 71, 74]",2.135960334959606,2.380450904438072,15,5,39,0.4782608695652174,0.44520456569613565
161,19,1992,"[6, 42, 42]",2.2628797519438764,2.080720670197015,35,12,54,0.3333333333333333,0.5347389843459341
165,42,2001,"[3, 2, 3, 42]",2.4604833660676606,2.242007266215781,16,4,58,0.2682926829268293,0.33292167897354247
182,15,1998,"[3, 5]",2.58644116915104,2.6937519688662674,11,7,26,0.42857142857142855,0.5535811479429861
205,15,1993,"[73, 73, 63, 72]",2.1715800714955575,2.4570781618469804,16,11,31,0.2857142857142857,0.5275530341307773
211,22,1999,[32],2.2883859682056835,2.0059300222434837,10,6,32,0.23809523809523808,0.4371374086323645
214,44,1998,"[3, 3, 42]",2.7394867937975302,1.9389131265760164,28,6,72,0.18604651162790697,0.261843591496896
215,20,1993,"[42, 42, 32]",2.641241966286958,2.4869760465630137,50,11,70,0.2631578947368421,0.4393317441211974
221,10,1992,"[74, 78, 36]",1.3766908376125055,1.5392083831081376,33,12,43,0.7777777777777778,0.8713093225350618
234,23,2000,"[75, 71, 71]",2.3885544756423274,1.741090618061722,16,5,39,0.13636363636363635,0.5108280955409013
238,27,2005,"[2, 34]",1.6581064381683237,1.5171063970610277,4,0,31,0.7307692307692307,0.7883641876263083
251,10,2002,"[42, 78]",1.1379988181542169,0.5493061443340549,4,3,14,0.7777777777777778,0.6665016597831784
253,12,1987,"[11, 11, 12]",2.271390732833335,1.7439694168264788,55,17,67,0.2727272727272727,0.36446949657813993
254,9,1992,"[61, 63, 64, 64]",1.0445144553799237,1.646541201972195,5,10,14,0.625,0.6647108942579835
261,18,2002,"[71, 71, 71, 74]",1.9586497364814948,1.6701804085021117,8,3,26,0.47058823529411764,0.6803077292918402
272,12,1995,"[72, 72, 72, 73]",1.6184083488565202,1.7560677853359055,38,10,50,0.5454545454545454,0.7700169940344725
274,13,1998,"[61, 64, 81, 84]",1.8221935745980293,1.5221342231374406,22,7,35,0.5,0.719474465870618
275,9,1990,"[75, 64, 61]",1.8098628433924222,1.6088844570857743,29,12,38,0.375,0.7129425153196809
282,14,2000,[72],1.3577610993703357,0.8958797346140275,4,3,18,0.6153846153846154,0.6461237670757594
287,28,2002,"[61, 64, 61]",1.1438351003047789,0.7607246985779726,6,3,34,0.5185185185185185,0.8028162295569404
289,8,2001,"[75, 61, 81, 75]",1.3848826102925458,1.1332141130418416,11,4,19,0.14285714285714285,0.6796943192782131
291,10,1994,"[68, 64, 82, 68]",1.6087025947880744,1.332183905767183,24,9,34,0.5555555555555556,0.6084465619466483
309,9,1995,"[74, 72, 74]",1.4763705884292413,1.7752441796060952,18,10,27,0.25,0.6122760472996173
311,7,1998,"[71, 64, 71, 75]",1.619653082498838,1.5615238196841505,10,6,17,0.8333333333333334,0.7452734603908863
313,6,1988,"[64, 81]",2.3738077901484345,1.5922903046932215,15,14,21,0.4,0.6071979046581804
324,6,1986,"[42, 32, 52]",1.9738295222980866,2.305272064569053,55,18,61,0.2,0.6204133822386955
325,8,1989,"[52, 34, 52, 52]",2.8896041121117846,2.2076954850676915,54,16,62,0.14285714285714285,0.4569484543445809
329,9,2001,[75],0.9868707005560162,0.6212266624470001,4,3,13,0.5,0.5707875406688041
332,14,1989,"[79, 71]",1.2050784574822466,1.4005345858231237,41,16,55,0.38461538461538464,0.6259660457527699
333,9,2000,"[79, 71, 72, 71]",1.4629779140927666,0.34657359027997264,2,0,11,0.375,0.45191557685898437
334,16,1999,[61],1.1993242302675917,1.3987439483454605,19,5,35,0.6666666666666666,0.6234721239479849
337,3,1996,"[78, 61]",0.6931471805599454,2.145474405452803,27,7,30,1.0,0.8826943695390348
344,18,2004,"[75, 71, 75, 75]",2.6979454697095147,2.079441541679836,1,0,19,0.47058823529411764,0.46518431370689295
353,9,1999,"[74, 74, 78, 79]",2.8325729622027525,2.147026732282974,18,5,27,0.25,0.44226695782837716
356,18,1995,"[78, 78]",1.78869759944776,1.901562730530121,35,10,53,0.29411764705882354,0.49314891978531733
360,26,2001,"[68, 79, 79]",2.361269617573635,2.3219869242514988,11,2,37,0.4,0.5348255075701441
366,9,2001,"[79, 71, 71, 71]",1.3282810688549185,1.2824746787307684,2,0,11,0.875,0.7637999644339232
367,45,1997,"[78, 61]",1.8181900241420477,2.469510536561981,42,8,87,0.3181818181818182,0.4790425214089879
375,6,1993,[34],0.6452001684846486,1.7356091672077876,7,7,13,0.8,0.7360510595904862
380,14,1996,"[68, 68, 73]",1.5359051686993046,1.68777536723419,4,2,18,0.6153846153846154,0.7268694472633428
382,3,1995,"[33, 33, 33]",1.7079879931344195,2.0269693294648956,19,7,22,1.0,0.9206326027679516
383,16,1993,"[61, 68, 75]",0.9903968698628057,1.4238896571245305,34,12,50,0.4,0.8102588301966178
389,5,1995,"[68, 5, 81, 81]",0.8553332238032111,1.896519095644336,9,6,14,0.5,0.7618603897210263
