aid,past_paperCount,first_year,first_genre,past_logCit,post_logCit,post_paperCount,post_career,whole_count,past_es,past_es_dis
36,10,1988,"[31, 31, 32]",1.0973700366682542,1.725329817288285,21,8,31,0.7777777777777778,0.8380908555650843
37,10,2004,"[61, 71, 71, 73]",1.8662613703547337,2.903209887665293,14,4,24,0.7777777777777778,0.7798021085551148
40,10,1989,[25],2.1651377307785236,2.314655819964075,7,2,17,0.5555555555555556,0.6140219926110626
44,10,2005,"[71, 75, 75]",2.2403128273962936,2.40464195116012,10,4,20,0.4444444444444444,0.5280700072542625
45,10,1995,"[52, 52]",1.5047842221587122,1.6513348516151887,11,5,21,0.5555555555555556,0.8443266126256694
47,10,2010,"[3, 3, 3]",1.3067036696681193,1.0986122886681098,1,0,11,0.1111111111111111,0.19672545931624213
49,10,1993,"[68, 5, 64]",1.9379387079876325,1.8529182403847877,56,13,66,0.4444444444444444,0.5754170275328189
51,10,2003,"[3, 3, 3, 42]",2.8294932917140128,2.769282931343522,20,7,30,0.0,0.21053616296054958
52,10,1989,"[42, 42, 32, 42]",1.4082761325543536,1.3674603384812778,56,21,66,0.1111111111111111,0.32255887412909234
57,10,2007,"[42, 3, 3, 42]",2.647758088375436,2.7336999809590776,9,2,19,0.4444444444444444,0.5784249425950139
60,10,2003,[3],2.6335070613228795,2.755132717367762,29,7,39,0.6666666666666666,0.33578528955642484
61,10,1989,"[42, 42, 32, 42]",2.215936105131741,2.8451122217049996,290,23,300,0.0,0.4251508773887766
80,10,1986,"[73, 72, 72]",2.553094413331551,2.3679314180610267,73,13,83,0.3333333333333333,0.5759160562822021
95,10,1996,"[3, 42, 42]",2.2910973269590786,2.4961622138626756,46,14,56,0.5555555555555556,0.49798530094932114
98,10,2006,"[3, 3, 42]",2.633893552828766,2.7212088552608966,2,1,12,0.2222222222222222,0.26861450030820366
99,10,2000,"[42, 42, 42]",2.4365156051452344,1.9481677926092034,27,11,37,0.2222222222222222,0.3830332286916032
103,10,1986,"[42, 42]",1.9747901623365745,2.1104451171564644,41,16,51,0.5555555555555556,0.5430909199965914
104,10,1991,"[32, 34, 34]",2.920650965359587,2.5592452754055697,20,15,30,0.3333333333333333,0.4131151214435709
106,10,2000,"[42, 3, 7, 42]",1.8010532687939822,1.8370407807564098,22,11,32,0.1111111111111111,0.16503319679119086
115,10,1994,[42],1.0199137794637085,2.2273424164514566,8,4,18,0.5555555555555556,0.4372233881110576
120,10,2001,"[42, 42, 12, 3]",2.35201708668364,2.400569206758644,19,5,29,0.2222222222222222,0.4612131042056016
136,10,1997,"[72, 72, 75]",1.4946922991982743,2.1920295028305645,53,13,63,0.4444444444444444,0.4533928246242357
139,10,1987,"[24, 25, 27]",1.6831633521165998,1.8506483743939035,82,24,92,0.1111111111111111,0.20752112505689121
142,10,1990,"[5, 5, 42]",0.6356107660695891,1.8579439516051606,33,18,43,0.4444444444444444,0.7743324492536048
147,10,1994,"[76, 71, 61]",1.4457785408150463,1.6659916195723041,17,6,27,0.5555555555555556,0.7344595155748088
148,10,1998,[71],1.2647676800254213,1.5747134884509655,23,7,33,0.4444444444444444,0.5879740026384367
149,10,1981,"[61, 6, 61]",1.5132583450042212,1.849838999390132,8,3,18,0.3333333333333333,0.7472381386703091
150,10,2001,"[78, 71]",1.4506575572319895,1.8753503929778772,9,3,19,0.3333333333333333,0.6053375392131903
154,10,2001,"[3, 7, 42]",2.716423326157179,2.123121694623049,31,9,41,0.3333333333333333,0.2913831234462129
157,10,2000,"[71, 71, 71, 74]",2.0423349226826284,2.2947055992681156,29,10,39,0.4444444444444444,0.4777584093285673
158,10,2007,"[71, 71, 71]",2.480142930858469,2.19722457733622,1,0,11,0.3333333333333333,0.2140602378784835
161,10,1992,"[6, 42, 42]",2.417065160107744,2.0829383441534484,44,20,54,0.4444444444444444,0.5495771857570038
165,10,2001,"[3, 2, 3, 42]",2.141441165611804,2.4541251245453375,48,12,58,0.1111111111111111,0.4680926300295131
169,10,2006,"[3, 3, 32]",2.811263475443463,1.8682672720080495,4,1,14,0.3333333333333333,0.4770820278419616
182,10,1998,"[3, 5]",2.1171249598634487,2.9535399747600035,16,12,26,0.3333333333333333,0.6058533237924548
188,10,2008,"[3, 3, 3]",2.380600848748953,3.012932986912657,2,1,12,0.2222222222222222,0.30512914027277765
190,10,2007,"[3, 42, 85]",3.5342797671697164,2.8743439906805652,35,6,45,0.1111111111111111,0.3074798757828685
197,10,2009,"[3, 3, 42, 85]",3.297228488776548,2.652271961891982,5,1,15,0.2222222222222222,0.43102701859777093
205,10,1993,"[73, 73, 63, 72]",1.9553680546197545,2.492060529323215,21,15,31,0.2222222222222222,0.49154000261498837
211,10,1999,[32],2.2837845924908535,2.162088436275061,22,10,32,0.2222222222222222,0.4421985791778153
214,10,1998,"[3, 3, 42]",2.962586713653746,2.3419535376561664,62,14,72,0.1111111111111111,0.373120608802752
215,10,1993,"[42, 42, 32]",2.3087359297797123,2.568104705934879,60,16,70,0.3333333333333333,0.499608690203038
221,10,1992,"[74, 78, 36]",1.3766908376125055,1.5392083831081376,33,12,43,0.7777777777777778,0.8713093225350618
226,10,2004,"[42, 3, 42]",2.3758994522721357,1.9459101490553128,1,0,11,0.3333333333333333,0.29631441180887536
234,10,2000,"[75, 71, 71]",2.3151845305677687,2.0566330180373584,29,11,39,0.2222222222222222,0.5075315499843932
