tmt1,tmt2,var,mean1,mean2,pop.sd,std.eff.sz,p,ks,ks.pval,stop.method
0,1,pre_citCount,1.6245,1.6255,0.5503,0.0018,0.9518,0.0188,0.899,unw
0,1,firstyear:1980,0.0074,0.0021,0.0469,0.1133,8e-04,0.0053,8e-04,unw
0,1,firstyear:1981,0.0046,0.0029,0.0512,0.0343,NA,0.0018,NA,unw
0,1,firstyear:1982,0.012,0.0044,0.0589,0.1281,NA,0.0075,NA,unw
0,1,firstyear:1983,0.0055,0.0043,0.0546,0.0229,NA,0.0013,NA,unw
0,1,firstyear:1984,0.0166,0.0103,0.0865,0.0728,NA,0.0063,NA,unw
0,1,firstyear:1985,0.0498,0.0364,0.1644,0.0811,NA,0.0133,NA,unw
0,1,firstyear:1986,0.0369,0.0347,0.1629,0.0133,NA,0.0022,NA,unw
0,1,firstyear:1987,0.0341,0.0417,0.1735,0.0437,NA,0.0076,NA,unw
0,1,firstyear:1988,0.0452,0.0372,0.1738,0.0456,NA,0.0079,NA,unw
0,1,firstyear:1989,0.0544,0.045,0.1916,0.0489,NA,0.0094,NA,unw
0,1,firstyear:1990,0.0488,0.0493,0.1918,0.0022,NA,4e-04,NA,unw
0,1,firstyear:1991,0.0507,0.0474,0.1956,0.0169,NA,0.0033,NA,unw
0,1,firstyear:1992,0.0562,0.0597,0.2216,0.0159,NA,0.0035,NA,unw
0,1,firstyear:1993,0.0525,0.0586,0.2299,0.0265,NA,0.0061,NA,unw
0,1,firstyear:1994,0.0654,0.0574,0.2246,0.036,NA,0.0081,NA,unw
0,1,firstyear:1995,0.0636,0.052,0.2255,0.0515,NA,0.0116,NA,unw
0,1,firstyear:1996,0.0488,0.0458,0.2144,0.0142,NA,0.0031,NA,unw
0,1,firstyear:1997,0.0415,0.0494,0.2263,0.0352,NA,0.008,NA,unw
0,1,firstyear:1998,0.0488,0.0447,0.2159,0.0193,NA,0.0042,NA,unw
0,1,firstyear:1999,0.0406,0.0488,0.2208,0.0374,NA,0.0083,NA,unw
0,1,firstyear:2000,0.0341,0.0445,0.2161,0.0482,NA,0.0104,NA,unw
0,1,firstyear:2001,0.0313,0.0442,0.214,0.0602,NA,0.0129,NA,unw
0,1,firstyear:2002,0.0332,0.0361,0.198,0.0149,NA,0.0029,NA,unw
0,1,firstyear:2003,0.0323,0.0326,0.1923,0.002,NA,4e-04,NA,unw
0,1,firstyear:2004,0.0166,0.0295,0.1848,0.0697,NA,0.0129,NA,unw
0,1,firstyear:2005,0.0203,0.0247,0.1737,0.0256,NA,0.0044,NA,unw
0,1,firstyear:2006,0.0184,0.0176,0.159,0.0053,NA,8e-04,NA,unw
0,1,firstyear:2007,0.0083,0.0174,0.1486,0.0615,NA,0.0091,NA,unw
0,1,firstyear:2008,0.0138,0.0092,0.1305,0.0355,NA,0.0046,NA,unw
0,1,firstyear:2009,0.0074,0.007,0.108,0.0037,NA,4e-04,NA,unw
0,1,firstyear:2010,0,0.0033,0.0742,0.0448,NA,0.0033,NA,unw
0,1,firstyear:2011,9e-04,0.0013,0.0546,0.0063,NA,3e-04,NA,unw
