tmt1,tmt2,var,mean1,mean2,pop.sd,std.eff.sz,p,ks,ks.pval,stop.method
0,1,pre_citCount,1.564,1.5357,0.5431,0.0521,0.0363,0.04,0.0221,unw
0,1,firstyear:a1980,0.0052,0.0014,0.0403,0.0944,0.0064,0.0038,0.0064,unw
0,1,firstyear:a1981,0.0057,0.0016,0.0482,0.0855,NA,0.0041,NA,unw
0,1,firstyear:a1982,0.0062,0.0035,0.0489,0.0552,NA,0.0027,NA,unw
0,1,firstyear:a1983,0.0062,0.0041,0.0537,0.0394,NA,0.0021,NA,unw
0,1,firstyear:a1984,0.0098,0.0105,0.0837,0.0081,NA,7e-04,NA,unw
0,1,firstyear:a1985,0.0377,0.0348,0.1622,0.018,NA,0.0029,NA,unw
0,1,firstyear:a1986,0.0361,0.0317,0.1647,0.0272,NA,0.0045,NA,unw
0,1,firstyear:a1987,0.0423,0.0373,0.1733,0.0291,NA,0.005,NA,unw
0,1,firstyear:a1988,0.0459,0.0394,0.1839,0.0355,NA,0.0065,NA,unw
0,1,firstyear:a1989,0.0563,0.0419,0.1977,0.0724,NA,0.0143,NA,unw
0,1,firstyear:a1990,0.0501,0.0505,0.2005,0.0021,NA,4e-04,NA,unw
0,1,firstyear:a1991,0.0547,0.0464,0.2027,0.041,NA,0.0083,NA,unw
0,1,firstyear:a1992,0.0604,0.0635,0.236,0.0132,NA,0.0031,NA,unw
0,1,firstyear:a1993,0.062,0.0695,0.2497,0.0303,NA,0.0076,NA,unw
0,1,firstyear:a1994,0.0681,0.068,0.2492,7e-04,NA,2e-04,NA,unw
0,1,firstyear:a1995,0.0635,0.0645,0.2496,0.0039,NA,0.001,NA,unw
0,1,firstyear:a1996,0.0542,0.0598,0.2405,0.0233,NA,0.0056,NA,unw
0,1,firstyear:a1997,0.0532,0.0629,0.2496,0.0391,NA,0.0097,NA,unw
0,1,firstyear:a1998,0.0609,0.0612,0.2459,0.001,NA,3e-04,NA,unw
0,1,firstyear:a1999,0.0558,0.0596,0.2475,0.0156,NA,0.0039,NA,unw
0,1,firstyear:a2000,0.0428,0.053,0.2352,0.0432,NA,0.0102,NA,unw
0,1,firstyear:a2001,0.0506,0.0499,0.2337,0.0029,NA,7e-04,NA,unw
0,1,firstyear:a2002,0.0361,0.0377,0.2079,0.0074,NA,0.0015,NA,unw
0,1,firstyear:a2003,0.0222,0.0272,0.1765,0.0283,NA,0.005,NA,unw
0,1,firstyear:a2004,0.0129,0.0173,0.1426,0.0307,NA,0.0044,NA,unw
0,1,firstyear:a2005,0.001,0.0029,0.065,0.029,NA,0.0019,NA,unw
0,1,Ncount,12.5235,11.4009,8.3116,0.1351,0,0.1093,0,unw
0,1,Genre_0,5e-04,4e-04,0.0168,0.0076,0.8269,1e-04,1,unw
0,1,Genre_1,0.0408,0.0289,0.1593,0.0744,0.0194,0.0118,0.9891,unw
0,1,Genre_2,0.0485,0.0569,0.2586,0.0324,0.1525,0.0084,1,unw
0,1,Genre_3,0.0145,0.0087,0.173,0.033,0.0573,0.0057,1,unw
0,1,Genre_4,0.1378,0.1229,0.313,0.0476,0.1004,0.0149,0.9133,unw
0,1,Genre_5,0.0041,0.0029,0.0511,0.0238,0.458,0.0012,1,unw
0,1,Genre_6,0.0155,0.0124,0.0993,0.0308,0.3397,0.0031,1,unw
0,1,Genre_7,0.0367,0.0278,0.2279,0.039,0.0668,0.0089,0.9999,unw
0,1,Genre_8,0.0258,0.0243,0.2227,0.0069,0.7141,0.0015,1,unw
0,1,Genre_9,0.0253,0.0196,0.1826,0.0311,0.1615,0.0057,1,unw
0,1,Genre_10,0.0145,0.0134,0.1669,0.0063,0.7378,0.0011,1,unw
0,1,Genre_11,0.0186,0.0214,0.2166,0.0128,0.4493,0.0028,1,unw
0,1,Genre_12,0,0,0.0084,0,NA,0,1,unw
0,1,Genre_13,0.0052,0.0089,0.1578,0.0239,0.0713,0.0038,1,unw
0,1,Genre_14,0.0196,0.0167,0.1673,0.0174,0.4209,0.0029,1,unw
0,1,Genre_15,0.0392,0.0406,0.2479,0.0055,0.7945,0.0014,1,unw
0,1,Genre_16,0.0026,0.0031,0.0691,0.0076,0.705,5e-04,1,unw
0,1,Genre_17,0.0134,0.0146,0.2042,0.0056,0.7126,0.0011,1,unw
0,1,Genre_18,5e-04,6e-04,0.0238,0.0028,0.9142,1e-04,1,unw
0,1,Genre_19,0.017,0.0074,0.0924,0.1045,0.0024,0.0097,0.9994,unw
0,1,Genre_20,0.0418,0.0322,0.1491,0.0642,0.0641,0.0096,0.9995,unw
0,1,Genre_21,0.0614,0.0462,0.2327,0.0654,0.014,0.0152,0.9005,unw
0,1,Genre_22,0.0315,0.0243,0.132,0.0547,0.1098,0.0072,1,unw
0,1,Genre_23,0.0423,0.035,0.1844,0.04,0.1595,0.0074,1,unw
0,1,Genre_24,0.0103,0.0064,0.0711,0.0551,0.1249,0.0039,1,unw
0,1,Genre_25,0.0191,0.0295,0.1264,0.0824,0.0076,0.0104,0.998,unw
0,1,Genre_26,0.0015,0.0023,0.042,0.0186,0.4844,8e-04,1,unw
0,1,Genre_27,0.0284,0.0159,0.1186,0.1051,0.0027,0.0125,0.9809,unw
0,1,Genre_28,0.1306,0.0763,0.2894,0.1876,0,0.0543,5e-04,unw
0,1,Genre_29,0.0036,0.0043,0.0475,0.0139,0.6877,7e-04,1,unw
0,1,Genre_30,0.0041,0.0029,0.046,0.0265,0.458,0.0012,1,unw
0,1,Genre_31,0.0052,0.0047,0.0537,0.0093,0.7902,5e-04,1,unw
0,1,Genre_32,0.0057,0.0066,0.0628,0.0147,0.6516,9e-04,1,unw
0,1,Genre_33,0.0712,0.039,0.1665,0.1934,0,0.0322,0.1078,unw
0,1,Genre_34,0.0098,0.005,0.0639,0.0745,0.0519,0.0048,1,unw
0,1,Genre_35,0.1182,0.0301,0.1922,0.4584,0,0.0881,0,unw
0,1,Genre_36,0.144,0.1804,0.3159,0.1152,2e-04,0.0364,0.0481,unw
0,1,Genre_37,0.0165,0.0287,0.1278,0.0957,0.001,0.0122,0.9845,unw
0,1,Genre_38,0.033,0.0449,0.1629,0.0726,0.0177,0.0118,0.9893,unw
0,1,Genre_39,0.0718,0.0959,0.2507,0.0965,7e-04,0.0242,0.3829,unw
0,1,Genre_40,0.0072,0.012,0.0866,0.0556,0.0497,0.0048,1,unw
0,1,Genre_41,0.0139,0.0204,0.1041,0.062,0.0515,0.0065,1,unw
0,1,Genre_42,0.0248,0.0208,0.1192,0.0336,0.3238,0.004,1,unw
0,1,Genre_43,0.0872,0.1146,0.2569,0.1064,5e-04,0.0273,0.2436,unw
0,1,Genre_44,0.1218,0.148,0.3317,0.0788,0.0034,0.0262,0.2908,unw
0,1,Genre_45,0.0475,0.055,0.221,0.0338,0.1968,0.0075,1,unw
0,1,Genre_46,0.0759,0.0971,0.2827,0.075,0.0037,0.0212,0.5508,unw
0,1,Genre_47,0.0759,0.0775,0.2758,0.0058,0.8211,0.0016,1,unw
0,1,Genre_48,0.0738,0.0816,0.3058,0.0253,0.2728,0.0077,1,unw
0,1,Genre_49,0.032,0.0328,0.1639,0.005,0.8628,8e-04,1,unw
0,1,Genre_50,0.0114,0.019,0.107,0.0717,0.0124,0.0077,1,unw
0,1,Genre_51,0.0888,0.1146,0.2782,0.0927,0.001,0.0258,0.3065,unw
0,1,Genre_52,0.0361,0.0371,0.173,0.0055,0.8481,0.001,1,unw
0,1,Genre_53,0.0305,0.0369,0.1426,0.0452,0.1712,0.0064,1,unw
0,1,Genre_54,0.0465,0.0453,0.1695,0.0072,0.8284,0.0012,1,unw
0,1,Genre_55,0.0088,0.0089,0.0696,0.0023,0.9497,2e-04,1,unw
0,1,Genre_56,0.0052,0.0041,0.0511,0.0212,0.5589,0.0011,1,unw
0,1,Genre_57,0.0052,0.0099,0.0882,0.0538,0.0263,0.0047,1,unw
0,1,Genre_58,0.0145,0.0181,0.112,0.0322,0.2725,0.0036,1,unw
0,1,Genre_59,0.0036,0.0016,0.0706,0.0292,0.1611,0.0021,1,unw
0,1,Genre_60,0.001,0.0025,0.0403,0.0371,0.1399,0.0015,1,unw
0,1,Genre_61,0.001,0.0023,0.0325,0.0399,0.1908,0.0013,1,unw
0,1,Genre_62,0,2e-04,0.0084,0.0231,0.3173,2e-04,1,unw
0,1,Genre_63,0.0041,0,0.0252,0.1639,0.0046,0.0041,1,unw
0,1,Genre_64,0.0057,0.0056,0.0975,5e-04,0.9814,0,1,unw
0,1,Genre_65,0.0026,0.0017,0.046,0.0181,0.5188,8e-04,1,unw
0,1,Genre_66,0.0052,0.005,0.0913,0.0012,0.9527,1e-04,1,unw
0,1,Genre_67,0.0098,0.007,0.1459,0.0193,0.2641,0.0028,1,unw
0,1,Genre_68,0,2e-04,0.0119,0.0163,0.3173,2e-04,1,unw
0,2,pre_citCount,1.564,1.7717,0.5431,0.3825,0,0.1699,0,unw
0,2,firstyear:a1980,0.0052,0.0012,0.0403,0.099,0,0.004,0,unw
0,2,firstyear:a1981,0.0057,0.0022,0.0482,0.0731,NA,0.0035,NA,unw
0,2,firstyear:a1982,0.0062,8e-04,0.0489,0.1106,NA,0.0054,NA,unw
0,2,firstyear:a1983,0.0062,0.0012,0.0537,0.0934,NA,0.005,NA,unw
0,2,firstyear:a1984,0.0098,0.0037,0.0837,0.0727,NA,0.0061,NA,unw
0,2,firstyear:a1985,0.0377,0.021,0.1622,0.1031,NA,0.0167,NA,unw
0,2,firstyear:a1986,0.0361,0.0223,0.1647,0.0838,NA,0.0138,NA,unw
0,2,firstyear:a1987,0.0423,0.0223,0.1733,0.1154,NA,0.02,NA,unw
0,2,firstyear:a1988,0.0459,0.0302,0.1839,0.0858,NA,0.0158,NA,unw
0,2,firstyear:a1989,0.0563,0.0353,0.1977,0.1062,NA,0.021,NA,unw
0,2,firstyear:a1990,0.0501,0.0347,0.2005,0.0768,NA,0.0154,NA,unw
0,2,firstyear:a1991,0.0547,0.0366,0.2027,0.0892,NA,0.0181,NA,unw
0,2,firstyear:a1992,0.0604,0.0574,0.236,0.0127,NA,0.003,NA,unw
0,2,firstyear:a1993,0.062,0.0664,0.2497,0.0179,NA,0.0045,NA,unw
0,2,firstyear:a1994,0.0681,0.0684,0.2492,9e-04,NA,2e-04,NA,unw
0,2,firstyear:a1995,0.0635,0.0703,0.2496,0.0274,NA,0.0068,NA,unw
0,2,firstyear:a1996,0.0542,0.0674,0.2405,0.0548,NA,0.0132,NA,unw
0,2,firstyear:a1997,0.0532,0.0721,0.2496,0.0758,NA,0.0189,NA,unw
0,2,firstyear:a1998,0.0609,0.067,0.2459,0.0248,NA,0.0061,NA,unw
0,2,firstyear:a1999,0.0558,0.0684,0.2475,0.051,NA,0.0126,NA,unw
0,2,firstyear:a2000,0.0428,0.0649,0.2352,0.0936,NA,0.022,NA,unw
0,2,firstyear:a2001,0.0506,0.0649,0.2337,0.061,NA,0.0143,NA,unw
0,2,firstyear:a2002,0.0361,0.0509,0.2079,0.0712,NA,0.0148,NA,unw
0,2,firstyear:a2003,0.0222,0.0384,0.1765,0.0918,NA,0.0162,NA,unw
0,2,firstyear:a2004,0.0129,0.0253,0.1426,0.0867,NA,0.0124,NA,unw
0,2,firstyear:a2005,0.001,0.0069,0.065,0.0897,NA,0.0058,NA,unw
0,2,Ncount,12.5235,15.6027,8.3116,0.3705,0,0.1547,0,unw
0,2,Genre_0,5e-04,2e-04,0.0168,0.0191,0.5618,3e-04,1,unw
0,2,Genre_1,0.0408,0.0216,0.1593,0.1207,1e-04,0.0192,0.6766,unw
0,2,Genre_2,0.0485,0.0921,0.2586,0.1685,0,0.0436,0.0097,unw
0,2,Genre_3,0.0145,0.0627,0.173,0.2789,0,0.0482,0.0029,unw
0,2,Genre_4,0.1378,0.0874,0.313,0.1612,0,0.0505,0.0016,unw
0,2,Genre_5,0.0041,0.0018,0.0511,0.0464,0.132,0.0024,1,unw
0,2,Genre_6,0.0155,0.0065,0.0993,0.0909,0.0028,0.009,0.9998,unw
0,2,Genre_7,0.0367,0.0909,0.2279,0.2381,0,0.0543,5e-04,unw
0,2,Genre_8,0.0258,0.0923,0.2227,0.2985,0,0.0665,0,unw
0,2,Genre_9,0.0253,0.0554,0.1826,0.1651,0,0.0301,0.1557,unw
0,2,Genre_10,0.0145,0.0484,0.1669,0.2033,0,0.0339,0.0788,unw
0,2,Genre_11,0.0186,0.088,0.2166,0.3203,0,0.0694,0,unw
